2025-04-23 14:09:26,915 - INFO - Nhận từ ('127.0.0.1', 56932): GETPEERS
2025-04-23 14:10:07,644 - INFO - Đóng kết nối từ ('127.0.0.1', 56932)
2025-04-23 14:10:10,895 - INFO - Đóng kết nối từ ('127.0.0.1', 56934)
2025-04-23 14:10:10,896 - INFO - Đóng kết nối từ ('127.0.0.1', 56935)
2025-04-23 14:54:21,774 - INFO - Tracker Server lắng nghe trên :12345
2025-04-23 14:54:51,295 - INFO - Kết nối từ ('127.0.0.1', 51366)
2025-04-23 14:54:51,295 - INFO - Nhận từ ('127.0.0.1', 51366): LOGIN alice password1 10.28.129.197 20000
2025-04-23 14:54:51,311 - INFO - Nhận từ ('127.0.0.1', 51366): GETPEERS
2025-04-23 14:54:53,615 - INFO - Nhận từ ('127.0.0.1', 51366): JOIN a
2025-04-23 14:54:59,011 - INFO - Nhận từ ('127.0.0.1', 51366): GETPEERS
2025-04-23 14:55:01,621 - INFO - Nhận từ ('127.0.0.1', 51366): GETPEERS
2025-04-23 14:55:04,128 - INFO - Nhận từ ('127.0.0.1', 51366): DEREGISTER c6b6c5a8-55d1-444c-be48-782f31122ca4
2025-04-23 14:55:04,189 - ERROR - Exception từ ('127.0.0.1', 51366): [WinError 10054] An existing connection was forcibly closed by the remote host
2025-04-23 14:55:04,192 - INFO - Đóng kết nối từ ('127.0.0.1', 51366)
2025-04-23 14:55:14,147 - INFO - Kết nối từ ('127.0.0.1', 51370)
2025-04-23 14:55:14,147 - INFO - Nhận từ ('127.0.0.1', 51370): LOGIN alice password1 10.28.129.197 20000
2025-04-23 14:55:14,147 - INFO - Nhận từ ('127.0.0.1', 51370): GETPEERS
2025-04-23 14:55:16,808 - INFO - Nhận từ ('127.0.0.1', 51370): JOIN a
2025-04-23 14:55:23,121 - INFO - Nhận từ ('127.0.0.1', 51370): GETPEERS
2025-04-23 14:55:23,999 - INFO - Nhận từ ('127.0.0.1', 51370): GETPEERS
2025-04-23 14:55:25,296 - INFO - Nhận từ ('127.0.0.1', 51370): GETPEERS
2025-04-23 14:55:26,105 - INFO - Nhận từ ('127.0.0.1', 51370): GETPEERS
2025-04-23 14:55:51,094 - INFO - Kết nối từ ('127.0.0.1', 51374)
2025-04-23 14:55:51,094 - INFO - Nhận từ ('127.0.0.1', 51374): LOGIN bob password1 10.28.129.197 200
2025-04-23 14:56:00,579 - INFO - Kết nối từ ('127.0.0.1', 51375)
2025-04-23 14:56:00,579 - INFO - Nhận từ ('127.0.0.1', 51375): LOGIN bob password2 10.28.129.197 200
2025-04-23 14:56:00,599 - INFO - Nhận từ ('127.0.0.1', 51375): GETPEERS
2025-04-23 14:56:03,989 - INFO - Nhận từ ('127.0.0.1', 51375): JOIN a.
2025-04-23 14:56:07,230 - INFO - Nhận từ ('127.0.0.1', 51375): JOIN a
2025-04-23 14:56:10,164 - INFO - Nhận từ ('127.0.0.1', 51375): GETPEERS
2025-04-23 14:56:17,191 - INFO - Nhận từ ('127.0.0.1', 51375): GETPEERS
2025-04-23 14:56:22,482 - INFO - Nhận từ ('127.0.0.1', 51375): GETPEERS
2025-04-23 14:56:23,103 - INFO - Nhận từ ('127.0.0.1', 51375): GETPEERS
2025-04-23 14:56:23,259 - INFO - Nhận từ ('127.0.0.1', 51375): GETPEERS
2025-04-23 14:56:23,416 - INFO - Nhận từ ('127.0.0.1', 51375): GETPEERS
2025-04-23 14:56:25,514 - INFO - Nhận từ ('127.0.0.1', 51375): DEREGISTER 1b555265-fae6-4ef7-9d25-d598d17316ff
2025-04-23 14:56:25,516 - INFO - Đóng kết nối từ ('127.0.0.1', 51374)
2025-04-23 14:56:25,548 - ERROR - Exception từ ('127.0.0.1', 51375): [WinError 10054] An existing connection was forcibly closed by the remote host
2025-04-23 14:56:25,548 - INFO - Đóng kết nối từ ('127.0.0.1', 51375)
